file_path,zcr,spectral_centroid,spectral_rolloff,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
birdsounds\xc113089.flac,0.1682001869973983,2389.0185077640913,4070.4171085989237,-443.6595,50.503475,-52.61348,-11.216705,-5.3392644,-15.575801,-13.166667,-6.6783533,-4.8656187,-10.672359,-11.750929,0.310272,-1.2745826,0.73474956,0.513277,0.4909657,0.45117587,0.4166319,0.3968449,0.41034588,0.44780144,0.4904926,0.5144475,0.5335863,0.6250715
birdsounds\xc113905.flac,0.1786930436002994,2991.363952175574,6406.434810067365,-300.31186,74.242874,-13.14475,2.5799158,-8.1868105,2.5535438,-2.658698,4.184784,-5.868649,-2.526063,-6.806394,-0.24879368,-2.1774077,0.6900407,0.64583635,0.5912247,0.54501545,0.5190965,0.54253066,0.55069613,0.53058165,0.53617173,0.5657028,0.6302154,0.71666193
birdsounds\xc116226.flac,0.04896304481907895,1224.57083786108,2290.877814041941,-266.61694,146.94798,0.7425145,21.890026,10.566869,17.786598,1.4504975,-5.037387,-8.669842,-0.09072916,-0.5030895,3.902834,1.8123496,0.6020711,0.54130596,0.54492885,0.58278674,0.5801905,0.5869783,0.53566086,0.51424384,0.52841896,0.5783386,0.60086286,0.63311964
birdsounds\xc118363.flac,0.20133515876205788,3006.8642237474505,5030.460899819132,-411.932,7.5739627,-108.71193,-23.044853,-4.8071556,-0.2624965,-0.701355,-2.097216,-8.962713,-3.1092157,-8.193304,-5.0477543,0.02422664,0.5676746,0.5429863,0.46246484,0.44592473,0.5209066,0.6003945,0.71743345,0.76684785,0.6798128,0.538303,0.5428702,0.59211046
birdsounds\xc118441.flac,0.40069118467699577,4266.783304701704,6178.864422966452,-339.5965,24.066952,-2.0943944,37.876976,-20.245182,30.233484,-14.773557,8.011409,1.6789147,-3.2706704,10.826738,-3.9905453,4.3121257,0.25027326,0.25066817,0.3633433,0.5202879,0.78671443,0.6009004,0.3316846,0.27740306,0.22494568,0.21265426,0.20782025,0.24476245
birdsounds\xc120664.flac,0.39018948637583273,5417.6699124903225,6718.740907975429,-254.62712,-17.960802,43.61518,46.601116,-23.83819,55.592922,-24.357824,20.083464,-7.989902,9.169698,5.6506176,-7.4301214,13.276121,0.051273365,0.0633074,0.07308398,0.0867791,0.09441986,0.32814148,0.93091995,0.6741991,0.254116,0.099929504,0.05167029,0.0462929
birdsounds\xc120666.flac,0.3955665310098824,4820.485637435768,6433.679346128032,-320.41428,-15.561859,7.293098,57.30596,-12.291506,36.049744,-24.136879,22.99991,11.207019,2.8976328,9.012495,2.4436665,17.219893,0.18983924,0.18694498,0.2194228,0.2592699,0.27502456,0.41776478,0.79569894,0.5041488,0.16094251,0.11772724,0.14933236,0.1968388
birdsounds\xc121016.flac,0.3501252984585313,4195.0951589339475,6420.393889873441,-372.82733,-56.03714,-102.27619,-28.332575,-46.598904,-10.66046,-6.3212094,-4.93095,-5.5495586,12.350646,-0.91888857,5.7517767,4.0021234,0.402721,0.34846365,0.32237193,0.35475662,0.42076555,0.33398288,0.34608564,0.38698244,0.47465962,0.5171659,0.5010412,0.4611249
birdsounds\xc121168.flac,0.1761509026319736,2437.6927312338557,4230.673757826559,-448.8498,87.28294,-26.504139,34.03074,-42.72171,-21.687452,-6.9389105,-21.065382,-31.979322,-13.1698265,-14.013626,-10.760446,-3.5947928,0.41313466,0.37252623,0.3233039,0.23758104,0.23055224,0.35916197,0.43941358,0.42048198,0.4025808,0.3493694,0.40115336,0.43499115
birdsounds\xc121326.flac,0.25736706305818985,3842.1343800744708,7693.042635076909,-387.4132,39.03622,-17.26956,-4.264142,-11.5426445,2.5880973,-1.12794,3.0944974,-0.04927215,4.614103,-1.2400227,4.339034,1.3406541,0.7422348,0.6687103,0.6690631,0.6902607,0.6575565,0.6494539,0.66793144,0.6353753,0.62529033,0.63416123,0.679315,0.742562
birdsounds\xc121597.flac,0.20736614133839087,3205.6995512877456,5468.737001822627,-358.9314,45.16555,0.531131,54.26465,-7.546594,14.22444,21.816729,-7.1013956,8.331346,14.442679,4.2914314,8.979603,5.386111,0.5679773,0.57925606,0.50111216,0.44804326,0.43509454,0.43746233,0.42709616,0.4678116,0.47996062,0.513383,0.53181314,0.5576527
birdsounds\xc121601.flac,0.32134337203499297,3706.588763564993,4911.1764527800615,-313.36002,0.26342878,-31.510134,85.19855,-11.676107,2.1510994,-1.4449675,-15.892793,3.6325238,3.5082238,-0.5191464,5.5793266,5.7411723,0.35443312,0.36151046,0.26347813,0.2326944,0.19676143,0.1930136,0.2028419,0.25061676,0.2764375,0.29251835,0.34546605,0.40276286
birdsounds\xc121677.flac,0.11828020706917476,2473.519147266133,5569.468911180218,-303.56116,99.340866,-1.7775618,-2.2595088,9.711389,11.202765,-6.3997293,-9.154135,-8.4577265,-1.9828142,-3.718848,-0.79900265,-0.6074913,0.62639934,0.58255595,0.5195531,0.56706816,0.548119,0.6198366,0.6953869,0.63023883,0.5782706,0.51661247,0.5032905,0.54237634
birdsounds\xc121691.flac,0.13787176899869538,2335.095674678294,4392.225626070205,-327.56744,92.189735,-44.193523,-10.168886,5.7692585,11.697087,-0.9794101,6.8670053,-0.008880505,1.5052849,-0.04382802,4.843244,2.411439,0.67118627,0.61092806,0.5671368,0.5376428,0.5201661,0.5333994,0.56237775,0.5690234,0.55908775,0.58008873,0.655867,0.69148254
birdsounds\xc121735.flac,0.22610982259114584,3411.283205159494,6179.692840576172,-340.03903,-25.762564,-110.10153,-41.191715,-34.02584,-14.729372,-9.773213,8.19216,16.594934,18.22443,15.606303,13.550088,-6.141701,0.39101407,0.48208448,0.6368563,0.6105254,0.614564,0.6112175,0.54911625,0.5449797,0.4758321,0.47333658,0.43496534,0.40109164
